id,diversity,citations,year,region,is_Biotech
EP19810300192,0.0004,0,1981,UKF24,0
EP19800200794,0.0004,1,1980,UKF24,0
EP19810300250,0.0156,1,1981,UKJ23,0
EP19810300251,0.0156,1,1981,UKJ23,0
EP19810300132,0.0445,0,1981,UKJ11,0
EP19810300441,0.0016,2,1981,UKE13,0
EP19790300570,0.0005,1,1979,UKE13,0
EP19810100706,0.0008,1,1981,UKJ23,0
EP19810300417,0.0002,1,1981,UKJ23,0
EP19810101377,0.0022,0,1981,UKH33,0
EP19800810091,0.0011,1,1980,UKH33,0
EP19810300224,0.0268,0,1981,UKJ24,0
EP19810300184,0.0005,0,1981,UKH33,0
EP19790301478,0.0008,1,1979,UKH33,0
EP19810300767,0.0085,0,1981,GBZZZ,0
EP19800302652,0.0045,1,1980,GBZZZ,0
EP19810300503,0.0004,0,1981,GBZZZ,0
EP19790301213,0.0008,1,1979,UKG38,0
EP19810300457,0.0002,0,1981,UKE22,0
EP19790302089,0.0004,1,1979,UKE22,0
EP19800300279,0.0005,1,1980,UKE13,0
EP19810300897,0.0016,0,1981,UKE42,0
EP19810300974,0.004,0,1981,UKD74,0
EP19810301127,0.001,0,1981,UKG24,0
EP19800302026,0.0005,1,1980,UKE42,0
EP19810200013,0.0094,1,1981,UKD63,0
EP19810301250,0.0004,1,1981,UKD31,0
EP19800300551,0.0009,3,1980,UKD43,0
EP19810300721,0.0007,1,1981,UKJ23,0
EP19800301906,0.0103,2,1980,UKD32,0
EP19810300490,0.0011,0,1981,UKD61,0
EP19800300413,0.0008,1,1980,UKD74,0
EP19810301005,0.0024,0,1981,UKG24,0
EP19790300842,0.0006,1,1979,UKG24,0
EP19810810070,0.0054,3,1981,UKH12,0
EP19800810203,0.006,6,1980,UKH12,0
EP19810302732,0.0003,0,1981,UKJ23,0
EP19800302760,0.001,1,1980,UKJ23,0
EP19810303620,0.002,0,1981,UKD61,0
EP19800304630,0.0018,2,1980,GBZZZ,0
EP19810303636,0.002,1,1981,GBZZZ,0
EP19790300782,0.0057,6,1979,GBZZZ,0
EP19810303692,0.0084,1,1981,UKI23,0
EP19810303880,0.0008,0,1981,UKE12,0
EP19810303883,0.0008,0,1981,UKE11,0
EP19810303534,0.0021,1,1981,UKJ23,0
EP19810303304,0.0028,0,1981,UKH31,0
EP19800302492,0.0009,1,1980,UKH31,0
EP19810303269,0.0138,0,1981,UKJ11,0
EP19780300414,0.0138,1,1978,UKJ11,0
EP19810303459,0.0066,0,1981,UKJ23,0
EP19800302016,0.0048,1,1980,UKJ23,0
EP19810303531,0.001,0,1981,UKE42,0
EP19800201062,0.0015,1,1980,UKJ23,0
EP19810303561,0.0004,0,1981,UKK12,0
EP19790302758,0.0004,1,1979,UKK12,0
EP19810303453,0.0009,0,1981,UKK13,0
EP19810300010,0.0017,1,1981,UKK13,0
EP19810303480,0.0188,0,1981,UKJ23,0
EP19810303655,0.001,0,1981,UKJ23,0
EP19810303884,0.0008,0,1981,UKE12,0
EP19800107247,0.0003,1,1980,UKI23,0
EP19800303729,0.1142,4,1980,UKH23,0
EP19810303958,0.003,0,1981,UKJ33,0
EP19790300934,0.0025,1,1979,UKC13,0
EP19810303632,0.0132,0,1981,UKJ13,0
EP19800300474,0.0118,1,1980,UKJ11,0
EP19810303705,0.0049,0,1981,UKI23,0
EP19810303889,0.0193,0,1981,UKJ24,0
EP19790300230,0.0211,1,1979,UKJ23,0
EP19810303842,0.0006,0,1981,UKH13,0
EP19800302111,0.0006,1,1980,UKH13,0
EP19810302146,0.0261,14,1981,UKJ11,0
EP19810303192,0.0188,1,1981,UKJ24,0
EP19810303222,0.0536,0,1981,UKK13,0
EP19810302937,0.0138,1,1981,UKD61,0
EP19790301578,0.0028,4,1979,UKD63,0
EP19810302836,0.0128,0,1981,UKH23,0
EP19790301334,0.0052,1,1979,UKH23,0
EP19810302543,0.0014,0,1981,UKG36,0
EP19790300933,0.0025,2,1979,UKC13,0
EP19810303027,0.0138,0,1981,UKD63,0
EP19810303233,0.0017,1,1981,UKJ24,0
EP19800302353,0.0097,2,1980,UKJ24,0
EP19810303253,0.0025,0,1981,GBZZZ,0
EP19800301526,0.0022,1,1980,UKD31,0
EP19810810271,0.0038,1,1981,UKH12,0
EP19810303005,0.0011,0,1981,GBZZZ,0
EP19810303291,0.0012,0,1981,GBZZZ,0
EP19790302514,0.0012,2,1979,UKK43,0
EP19810302771,0.0054,0,1981,UKH33,0
EP19780300564,0.0055,1,1978,UKH23,0
EP19810302910,0.001,0,1981,UKE12,0
EP19790302317,0.0012,1,1979,UKH13,0
EP19810303443,0.0063,0,1981,UKK15,0
EP19800302530,0.0025,1,1980,UKJ42,0
EP19810302634,0.0006,0,1981,UKJ42,0
EP19790300770,0.0008,1,1979,GBZZZ,0
EP19810303435,0.0213,0,1981,UKE31,0
EP19800302130,0.0148,2,1980,UKD74,0
EP19810303000,0.1334,1,1981,UKM25,0
EP19800300039,0.056,1,1980,UKM25,0
EP19800300040,0.0521,1,1980,UKM25,0
EP19810302989,0.0356,2,1981,UKJ23,0
EP19810302470,0.0026,0,1981,UKD31,0
EP19820305346,0.0387,0,1982,UKD74,0
EP19810200384,0.0609,1,1981,UKD74,0
EP19820305249,0.0004,0,1982,UKJ23,0
EP19810301476,0.0183,1,1981,UKJ23,1
EP19820201204,0.0199,1,1982,UKF22,0
EP19810109184,0.0172,1,1981,UKF22,0
EP19820305126,0.0017,0,1982,UKJ23,0
EP19810302032,0.0088,1,1981,UKJ23,0
EP19820305154,0.0236,0,1982,UKM31,0
EP19780300112,0.0099,3,1978,UKM63,0
EP19820305239,0.0001,0,1982,GBZZZ,0
EP19820300207,0.0027,1,1982,GBZZZ,0
EP19820304846,0.0003,0,1982,UKK15,0
EP19790300892,0.0051,1,1979,UKH23,0
EP19820304981,0.0024,1,1982,UKH23,0
EP19820305279,0.0055,1,1982,UKD43,0
EP19820301600,0.0059,4,1982,UKD43,0
EP19820305274,0.0004,0,1982,UKJ13,0
EP19820302447,0.0009,3,1982,UKJ13,0
EP19820305730,0.0349,0,1982,UKH23,0
EP19810300078,0.0148,2,1981,UKH23,0
EP19820305188,0.0124,1,1982,UKK11,0
EP19800302498,0.0079,5,1980,UKK11,1
EP19820304941,0.0189,0,1982,UKH23,0
EP19790301347,0.0017,1,1979,UKH23,0
EP19820201183,0.0023,0,1982,UKJ42,0
EP19790301556,0.0021,1,1979,GBZZZ,0
EP19820305194,0.0169,0,1982,UKJ13,0
EP19810303795,0.0003,2,1981,UKJ11,0
EP19820305437,0.0271,0,1982,UKJ23,0
EP19810300240,0.0108,1,1981,UKJ23,0
EP19820305579,0.0002,1,1982,GBZZZ,0
EP19790302248,0.0002,1,1979,GBZZZ,0
EP19820305687,0.0249,0,1982,UKJ23,0
EP19820305766,0.0014,0,1982,UKE22,0
EP19820303168,0.001,1,1982,UKE22,0
EP19820305435,0.0015,0,1982,UKG39,0
EP19810300671,0.0007,1,1981,UKG39,0
EP19820305276,0.0144,3,1982,UKE41,0
EP19790301579,0.0017,2,1979,UKE41,0
EP19820109569,0.0734,1,1982,UKJ42,0
EP19780101426,0.0231,4,1978,UKJ42,0
EP19820109568,0.0029,1,1982,UKJ42,0
EP19820305338,0.0052,0,1982,UKI23,0
EP19820304308,0.0009,0,1982,UKK22,0
EP19790301103,0.0012,1,1979,UKM27,0
EP19820201291,0.0013,2,1982,UKJ23,0
EP19810200759,0.0014,1,1981,UKJ23,0
EP19820303805,0.0032,0,1982,UKJ11,0
EP19800304158,0.0479,4,1980,UKM24,0
EP19820304451,0.0049,1,1982,GBZZZ,0
EP19810305693,0.0036,2,1981,UKL21,0
EP19820303999,0.0004,0,1982,UKH33,0
EP19790302757,0.0003,1,1979,UKH33,0
EP19820304072,0.0408,0,1982,UKM25,0
